Components,alpha,l1_ratio,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,split5_test_MSE,split6_test_MSE,split7_test_MSE,split8_test_MSE,split9_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_Max Error,split1_test_Max Error,split2_test_Max Error,split3_test_Max Error,split4_test_Max Error,split5_test_Max Error,split6_test_Max Error,split7_test_Max Error,split8_test_Max Error,split9_test_Max Error,mean_test_Max Error,std_test_Max Error,rank_test_Max Error
2,0.1,0.1,0.004088783264160156,0.0006756749990973122,0.0017882585525512695,0.0007081793594001948,0.2,0.1,"{'alpha': 0.2, 'l1_ratio': 0.1}",-9.297105678917715,-10.818498342821965,-11.310336424198143,-8.24416490937301,-13.172905912793903,-8.800649234295308,-11.436283801988399,-6.5484304357752166,-11.524710975814399,-8.012956238495194,-9.916604195447324,1.940347753594178,7,0.14026089185208324,0.126832452052959,0.1130978336363282,0.13380697866118252,0.1028150428256196,0.1111987201808673,0.10813673009506597,0.1331533768818397,0.10778275529294856,0.1383198328803078,0.1215404614359202,0.013576227776417676,7,-12.57537778567151,-17.356813127821233,-12.732326332513145,-15.407591336608057,-17.45058061330181,-12.150826112143221,-14.16300445117674,-7.879096285464662,-17.371475357273255,-13.386553485807237,-14.047364488778086,2.8535024944697414,6
2,0.1,0.1,0.0027019500732421873,0.0006412616465122079,0.0015449047088623047,0.0004600193629942728,0.2,0.2,"{'alpha': 0.2, 'l1_ratio': 0.2}",-9.643535068364093,-11.110420724864822,-11.518849822666057,-8.442438394903418,-13.47525453910585,-9.023838368087214,-11.64073969490114,-6.6492482017181604,-11.770128300162678,-8.208483835658608,-10.148293695043204,1.9790358395118723,12,0.10822523423938757,0.1032712199445911,0.09674721612318415,0.112974897865746,0.08222257513889919,0.08865824816853707,0.0921921536608239,0.11980765368678037,0.08878309713293775,0.11729360390992194,0.10101758998708091,0.012529143891060508,12,-12.839565705324347,-17.578029600044605,-12.865227465742638,-15.644111527076234,-17.65340791756487,-12.57941337767339,-14.195751891537292,-8.04938673166335,-17.568484699282575,-13.535517493375133,-14.250889640928444,2.8508535345357626,12
2,0.1,0.1,0.0029707431793212892,0.00047442831282054187,0.0019039154052734376,0.0005391601901728797,0.2,0.30000000000000004,"{'alpha': 0.2, 'l1_ratio': 0.30000000000000004}",-9.86155535383779,-11.322580049982712,-11.701934742540045,-8.631505288810622,-13.694795698557728,-9.215347101180111,-11.794790328363074,-6.755138143999084,-11.989661714479068,-8.388542799900067,-10.33558512216503,1.9996178401818785,14,0.08806406018536395,0.08614771242839325,0.08239057756048362,0.09311012976989741,0.0672699878324382,0.06931726518671322,0.080178452001339,0.10579050258642975,0.07178731316459752,0.09793080773569529,0.08419868084513513,0.011976821710304245,14,-13.11330545190389,-17.745046090568344,-12.962098210032774,-15.851603258746987,-17.80790373292718,-12.955487581407393,-14.187241218960693,-8.184644781575106,-17.752171730138276,-13.657370067032751,-14.42168721232934,2.8492071130560483,14
2,0.1,0.1,0.003185272216796875,0.0006069591146318157,0.0016185998916625976,0.00048589655473231297,0.2,0.4,"{'alpha': 0.2, 'l1_ratio': 0.4}",-9.958158631873424,-11.431771026482522,-11.823294465836828,-8.731616416132162,-13.796720432943845,-9.33684491559385,-11.902683731731388,-6.852967658017863,-12.102045738418246,-8.500760555431887,-10.4436863572462,2.001537824179428,19,0.07913078363986292,0.07733484263934887,0.07287413194256809,0.08259171331443682,0.060328061801796395,0.05704687352909066,0.07176434080968541,0.09284034839296462,0.06308679439249709,0.0858633745109989,0.07428612649732498,0.010981063478831756,19,-13.215909710266544,-17.823731896891452,-13.06014615333007,-15.934748277382397,-17.87898848137712,-13.146290327315775,-14.182170973317408,-8.26291865340368,-17.833461119357516,-13.691386605606734,-14.50297521982487,2.843339330783676,20
2,0.1,0.1,0.0022384166717529298,0.0015394872352953713,0.000987410545349121,0.0008507763349862687,0.2,0.5,"{'alpha': 0.2, 'l1_ratio': 0.5}",-9.95430396076945,-11.437128353625438,-11.832915051457148,-8.743135076804535,-13.799904228910188,-9.332787916014368,-11.91192744870742,-6.870322004365286,-12.103175840769687,-8.509326120636263,-10.449492600205978,1.9991630585976496,21,0.07948723989749684,0.07690244952371517,0.07211973190455567,0.08138147751745084,0.060111218694692714,0.057456600848345474,0.07104346576049458,0.09054307171342613,0.062999304406123,0.08494226906163638,0.07369868293279368,0.010418219077466213,21,-13.213474287982216,-17.827648088825743,-13.067465388602265,-15.943789881999791,-17.881265751356235,-13.140789581514847,-14.180968081710411,-8.265559433360382,-17.833715045274865,-13.689844774490805,-14.504452031511756,2.8440345588704514,21
2,0.1,0.1,0.0020851850509643554,0.002886669113796029,0.0017357349395751953,0.003009491381971318,0.2,0.6,"{'alpha': 0.2, 'l1_ratio': 0.6}",-9.949814425391242,-11.433974000005975,-11.830256642170895,-8.736752856122596,-13.796321234531563,-9.326604582868862,-11.90749484499763,-6.863893856921882,-12.097212691281403,-8.503007757256942,-10.444533289154897,2.0001708869710684,20,0.07990240449552988,0.0771570393131652,0.07232819157070791,0.08205204088876983,0.060355250549123496,0.05808107232391091,0.07138914417380204,0.09139399590951724,0.06346095804909746,0.08562171972261234,0.07417418169962363,0.0105224857882567,20,-13.210629410536784,-17.825821444331584,-13.06599879537248,-15.938313387465442,-17.87913574515079,-13.132907824503178,-14.178163493892738,-8.258552343668438,-17.829203210281047,-13.684571311201882,-14.500329696640438,2.8450647358310928,19
2,0.1,0.1,0.0016770601272583009,0.0028977659914783704,0.0029322147369384766,0.003596005037716577,0.2,0.7000000000000001,"{'alpha': 0.2, 'l1_ratio': 0.7000000000000001}",-9.944519195510132,-11.430246373277118,-11.827115787218357,-8.729267229699866,-13.79209233893539,-9.319426292232128,-11.902266350526938,-6.856402508852539,-12.090207064953841,-8.49559339388633,-10.438713653509264,2.0013313600680025,18,0.08039207476202448,0.07745789832218442,0.07257448230487917,0.08283853623899595,0.06064327367321365,0.05880602723746198,0.07179689045362947,0.09238566098715717,0.06400331790805991,0.08641902968888704,0.07473171915764933,0.010648589081218617,18,-13.20726234161855,-17.823658424407014,-13.064263276067217,-15.931830928725656,-17.876615836409215,-13.123577907394214,-14.17484410102038,-8.250260685032016,-17.823866281519845,-13.67832956672785,-14.495450934892196,2.8462856197198314,18
2,0.1,0.1,0.0029322147369384766,0.003596005037716577,0.003130817413330078,0.006261634826660156,0.2,0.8,"{'alpha': 0.2, 'l1_ratio': 0.8}",-9.93818015631297,-11.425773609201054,-11.823348068740257,-8.720366455909595,-13.787025642315934,-9.31099825781466,-11.896006607020418,-6.847564497293438,-12.081860179574868,-8.486772072197294,-10.431789554638048,2.0026799022167,17,0.08097827008926917,0.0778188978174087,0.07286992866077413,0.08377371745218132,0.060988358047127544,0.059657197142906515,0.07228505911131189,0.09355559026261095,0.06464951503095018,0.0873676381326357,0.0753944171747176,0.010803449110138289,17,-13.203214776096717,-17.821056691356265,-13.062177395814913,-15.92403729975254,-17.873588180424814,-13.112360336827564,-14.17085383420899,-8.240295572642513,-17.81745514998501,-13.67082589773554,-14.489586513484488,2.84775555930609,17
2,0.1,0.1,0.00383453369140625,0.006265668818874676,0.0014074325561523437,0.0028148651123046874,0.2,0.9,"{'alpha': 0.2, 'l1_ratio': 0.9}",-9.930455195023049,-11.420307538261635,-11.818745049397466,-8.709610025661522,-13.780844901099195,-9.300974615857145,-11.888377390027784,-6.836988275770707,-12.07174746004047,-8.476103675559841,-10.42341541266988,2.004262413989481,16,0.08169262696110025,0.07826006771066307,0.07323087529169858,0.08490386767574187,0.06140931816637185,0.06066951175323887,0.07288002671894345,0.09495561458939361,0.0654324190689265,0.08851487337564068,0.07619492013117188,0.010996991073791084,16,-13.198257227810956,-17.817867709267027,-13.059623148714493,-15.914489938850414,-17.869882121901718,-13.098617765347832,-14.165966447567172,-8.228093531027467,-17.809609205333008,-13.661634573882328,-14.482404166970245,2.8495594052608855,16
2,0.1,0.1,0.002972841262817383,0.005056836067711218,0.003130817413330078,0.006261634826660156,0.2,1.0,"{'alpha': 0.2, 'l1_ratio': 1.0}",-9.920834534940235,-11.413476067237974,-11.812994385375799,-8.696355275244374,-13.7731374946732,-9.28887755265509,-11.878874582938382,-6.82411954583638,-12.059244923155498,-8.462944754710051,-10.4130859116767,2.0061380011363705,15,0.08258228638899612,0.07881143987097394,0.07368181469681945,0.08629650991872617,0.061934256942220545,0.06189122676196113,0.07362110701659719,0.09665910906746689,0.06640033739978679,0.08992992929002208,0.07718080173535703,0.011243828715698885,15,-13.192043954990154,-17.813867358630738,-13.05642283221141,-15.902521862993769,-17.86524087949899,-13.0813895322755,-14.159841078335646,-8.212806128246381,-17.799786090313603,-13.650114098166434,-14.473403381566262,2.8518254802467555,15
