Components,alpha,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,split5_test_MSE,split6_test_MSE,split7_test_MSE,split8_test_MSE,split9_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_Max Error,split1_test_Max Error,split2_test_Max Error,split3_test_Max Error,split4_test_Max Error,split5_test_Max Error,split6_test_Max Error,split7_test_Max Error,split8_test_Max Error,split9_test_Max Error,mean_test_Max Error,std_test_Max Error,rank_test_Max Error
4,0.1,0.0,0.0,0.0,0.0,0.1,{'alpha': 0.1},-8.152658558520558,-9.37577974468996,-10.459297772883607,-7.517756121138703,-12.07869550209127,-7.839070700038278,-9.987250819574356,-6.080128273290349,-10.449896006108537,-7.177902604151989,-8.911843610248761,1.7566090804323446,1,0.2460923173078432,0.24327514315383114,0.1798321901754698,0.2101288657079079,0.17733991432815865,0.20831112736143698,0.2211401599042485,0.1951447429244848,0.1909925167223966,0.22811804639580902,0.2100375023981586,0.02328916733234842,1,-11.871006319953029,-16.641955595245165,-11.724872072774607,-14.080009517862079,-16.697241153848253,-10.880340616827098,-12.928993691742907,-7.709586889987998,-16.530478345833856,-11.84365915903809,-13.090814336311308,2.778593690190224,1
4,0.1,0.0011245489120483398,0.0030020141541008075,0.0011245489120483398,0.0030020141541008075,0.2,{'alpha': 0.2},-9.325613815914567,-10.870718479535169,-11.270421634134749,-8.186814843092357,-13.177058985468962,-8.707198402381628,-11.346427630704705,-6.393684029954525,-11.45616235518073,-7.897431957741454,-9.863153213410886,1.976155654118767,2,0.13762463481434617,0.12261773321838232,0.11622775943600983,0.1398326013569564,0.10253218387598606,0.12063657150226403,0.11514420036510942,0.153637888497402,0.11308963557468332,0.15074283614944328,0.1272086044790583,0.016306114303300968,2,-12.65896664035861,-17.55854465872398,-12.632265343082668,-15.225701048862629,-17.510501797204448,-12.119823858934806,-13.920783824251691,-7.636716300825485,-17.418459046836237,-13.088819746503532,-13.977058226558409,2.944517617549239,2
4,0.1,0.0004511833190917969,0.0013535499572753904,0.0004511833190917969,0.0013535499572753904,0.30000000000000004,{'alpha': 0.30000000000000004},-10.416954091440985,-11.953395649265763,-12.371861234533831,-9.07167704962104,-14.300983321177446,-9.580166168511836,-12.375964315578125,-7.11074912796554,-12.47430478904051,-8.857018062911617,-10.85130738100467,2.0814936662559025,3,0.036704203491873644,0.03523420367898489,0.029858165192756303,0.04686242468445889,0.025983545809687758,0.03247320455954028,0.03485536089973629,0.05871659936361018,0.03426733461077458,0.04755291586803145,0.038250795815945426,0.00934200007324136,3,-13.486779615280984,-18.06006455597251,-13.320932796444481,-16.146493501746797,-18.117401024314212,-13.384231591295205,-14.473961941700628,-8.489240966676011,-18.03366531140771,-14.020061340533994,-14.753283264537254,2.8343933123542557,3
4,0.1,0.000567173957824707,0.0015389862010577403,0.000567173957824707,0.0015389862010577403,0.4,{'alpha': 0.4},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.88515367970266,-12.823352289143473,-7.491876294528763,-12.921352102806647,-9.274095102254618,-11.271099072778469,2.100904312532458,4,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,0.0016716940051928475,-3.4373206963644876e-05,0.008264998700800219,-0.00034206456454177747,0.0027021763573967794,-5.1665460403138574e-05,0.0035470508544821807,4,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.603603341794068,-14.640343930202363,-8.730216293851736,-18.300611683409116,-14.165918105530558,-14.965957081234754,2.844043802965258,4
4,0.1,0.0005512237548828125,0.0016536712646484375,5.059242248535156e-05,0.0001517772674560547,0.5,{'alpha': 0.5},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
4,0.1,0.0008656978607177734,0.0016024034765559432,0.000916290283203125,0.0015821307584288988,0.6,{'alpha': 0.6},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
4,0.1,0.0005456209182739258,0.0006460530548476576,0.0004444122314453125,0.0006829117881453195,0.7000000000000001,{'alpha': 0.7000000000000001},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
4,0.1,0.00045332908630371096,0.0006019890301003095,0.0005357503890991211,0.0006273469653707999,0.8,{'alpha': 0.8},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
4,0.1,0.00014483928680419922,0.00043451786041259766,0.0,0.0,0.9,{'alpha': 0.9},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
4,0.1,0.0004452943801879883,0.001335883140563965,0.0008905887603759766,0.0017811775207519532,1.0,{'alpha': 1.0},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
