Components,depth,iterations,l2_leaf_reg,learning_rate,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
5,8,150,0.2,0.05,0.08586111068725585,0.0049913492741674595,0.0025396347045898438,0.004705990635606633,4,150,0.6,0.05,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 0.6, 'learning_rate': 0.05}",0.6761305400392448,0.7917541485053845,0.7366492568296876,0.6902054918949135,0.793739329332739,0.6909556238125023,0.7544844019824393,0.6582301573854727,0.7437482222002063,0.7915725945661947,0.7327469766548785,0.04856501821132788,51
5,8,150,0.2,0.05,0.0876349925994873,0.0029019026456835557,0.00021719932556152344,0.00043536569547648354,4,150,0.6,0.1,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 0.6, 'learning_rate': 0.1}",0.672598138981708,0.805139756394263,0.7247130625344227,0.6861554566693822,0.8095267012334697,0.689614585165988,0.7792179863842075,0.6422391804655938,0.7388016119623846,0.8042958440559961,0.7352302323847415,0.05856183860296105,43
5,8,150,0.2,0.05,0.08695871829986572,0.002897141680120319,0.0008174657821655273,0.0013695026630684162,4,150,1,0.01,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.582407048662168,0.6628568149269336,0.6122492799708295,0.5788554140073181,0.6394223499096858,0.5237798366810945,0.6097590948900657,0.5562406362224008,0.6412886378504296,0.6474042318221722,0.6054263344943098,0.04229521020866133,72
5,8,150,0.2,0.05,0.08623533248901367,0.006121431270566682,0.0012736082077026366,0.00382082462310791,4,150,1,0.05,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.6769992839126233,0.8021751743040233,0.7408133777058941,0.6942564165800411,0.7933260863616179,0.6848734714575009,0.7614030353697719,0.6623991165932749,0.7466506766111731,0.7877558286292132,0.7350652467525134,0.049367909587403086,44
5,8,150,0.2,0.05,0.08770296573638917,0.0043422463265823125,0.0004683494567871094,0.001110994539986137,4,150,1,0.1,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.6553331013216159,0.7911751703175479,0.7207435503849882,0.7072444136697538,0.8022655831393806,0.6998920765032564,0.7703263433570245,0.658026356759228,0.735683228854357,0.7931756847222731,0.7333865509029425,0.051734945253816104,50
5,8,150,0.2,0.05,0.11221730709075928,0.0032166156060751626,0.0008764266967773438,0.0016788331798275608,4,200,0.2,0.01,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 0.2, 'learning_rate': 0.01}",0.6270798756709481,0.7202048176576727,0.6564892233593685,0.6201754952595853,0.690835480457055,0.578309580706354,0.6660689479245112,0.6042843528884143,0.6852933308209448,0.7086590948148721,0.6557400199559726,0.044607033189062485,65
5,8,150,0.2,0.05,0.11171469688415528,0.0032878925496280698,0.0005132913589477539,0.0012430298306443672,4,200,0.2,0.05,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 0.2, 'learning_rate': 0.05}",0.6738759292483697,0.8022636657456709,0.7294883180736814,0.685595150285017,0.8050631223487402,0.6921896789808637,0.7723846312644158,0.6558324035774802,0.7401226000187442,0.8116184628368188,0.7368433962379803,0.05567863416648346,40
5,8,150,0.2,0.05,0.11073184013366699,0.002525579489310303,0.0019498586654663086,0.0025867399117710183,4,200,0.2,0.1,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 0.2, 'learning_rate': 0.1}",0.6544033611481892,0.804060772673405,0.7293219464895913,0.687648527874783,0.817955723786708,0.7087418441912305,0.7819822548397979,0.6290682594687418,0.7675280834014232,0.8094955611645265,0.7390206335038396,0.06402001983995523,38
5,8,150,0.2,0.05,0.11209712028503419,0.003884097949189618,0.001328253746032715,0.0018285615018478391,4,200,0.6,0.01,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 0.6, 'learning_rate': 0.01}",0.6274811891676485,0.7181602477830964,0.6534004862806213,0.6174095207142487,0.6879530513527257,0.5793624618748111,0.6627347176036509,0.6042623255506556,0.6841951610835026,0.7050912050464945,0.6540050366457456,0.043537075454937305,67
5,8,150,0.2,0.05,0.10970568656921387,0.0070062939775004844,0.0019026517868041993,0.004599846691425224,4,200,0.6,0.05,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 0.6, 'learning_rate': 0.05}",0.667651027846619,0.7964410157954718,0.7399952011462267,0.6957217398326916,0.7998969036790882,0.693909069990696,0.767620611393842,0.6476306596845347,0.7371599207093443,0.8006043450221283,0.7346630495100642,0.05365040052629129,47
5,8,150,0.2,0.05,0.11127650737762451,0.003244045261457068,0.0006505250930786133,0.0016431499937775767,4,200,0.6,0.1,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 0.6, 'learning_rate': 0.1}",0.6570899163870343,0.8096777764186619,0.7263386563833389,0.6827321465991733,0.8111610167910094,0.6936741371431532,0.7819154068522874,0.635114473418137,0.7447405537530023,0.8115841562113969,0.7354028239957194,0.06332344647147507,42
5,8,150,0.2,0.05,0.11264123916625976,0.002526619944291008,0.00011687278747558593,0.0003506183624267578,4,200,1,0.01,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.625832698271811,0.7132244159700335,0.6512225704123347,0.6141099020040823,0.6858939553136161,0.5751870498504195,0.6555054787272463,0.6008123137140968,0.6812201641137117,0.6975487214426743,0.6500557269820026,0.04294370719862669,68
5,8,150,0.2,0.05,0.11191277503967285,0.0029064982871940146,0.0005506038665771485,0.0010559353618646821,4,200,1,0.05,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.6708073992574275,0.8003240681961273,0.7398737171708009,0.6985680439889065,0.7934803612438254,0.6917916269304188,0.7705511879464304,0.6543225197899993,0.7342815266090933,0.7952130791262909,0.7349213530259321,0.051404953646536654,45
5,8,150,0.2,0.05,0.1112591028213501,0.0033584477000581808,0.0011348724365234375,0.0017990505373814678,4,200,1,0.1,"{'depth': 4, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.6546056073924664,0.795002170993552,0.7224994255313346,0.7102518439488688,0.8052874227340754,0.702555344601184,0.7676478367563904,0.6531724471053069,0.7402107295303229,0.7971700409674685,0.7348402869560969,0.053365599599718455,46
5,8,150,0.2,0.05,0.10160861015319825,0.0037554813701490596,0.0005811929702758789,0.0006011416387445549,6,100,0.2,0.01,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 0.2, 'learning_rate': 0.01}",0.5708513498351051,0.6344667438623064,0.5782900219596125,0.5660113884868259,0.5893634013259653,0.5068104052208859,0.5684086028197195,0.5325600274960135,0.6192442461959395,0.6087990587532239,0.5774805245955597,0.03658449110385741,75
