Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std
benzathine penicillin G,chloroform,1538-09-6,67-66-3,2.745739246e-07,0.0,28.0,0.0
benzathine penicillin G,"1,4-dioxane",1538-09-6,123-91-1,2.290859475e-07,0.0,28.0,0.0
benzathine penicillin G,ethylene chloride,1538-09-6,107-06-2,9.79703904e-08,0.0,28.0,0.0
benzathine penicillin G,diethyl ether,1538-09-6,60-29-7,3.26127989e-08,0.0,28.0,0.0
benzathine penicillin G,methyl ethyl ketone,1538-09-6,78-93-3,2.523849363e-07,0.0,28.0,0.0
benzathine penicillin G,isoamyl acetate,1538-09-6,123-92-2,7.94158937e-08,0.0,28.0,0.0
benzathine penicillin G,ethyl acetate,1538-09-6,141-78-6,1.145429869e-07,0.0,28.0,0.0
Cyclohexanone,Water,108-94-1,7732-18-5,0.0019617777777777776,0.00038093854207667954,21.11111111111111,10.743933114340953
Methyl Isobutenyl Ketone,Water,141-79-7,7732-18-5,0.00543,0.0,20.0,0.0
Ethyl Isopropyl Ketone,Water,565-69-5,7732-18-5,0.002773333333333334,0.00015923427883328254,25.0,4.08248290463863
Ethyl Propyl Ketone,Water,589-38-8,7732-18-5,0.002683333333333333,0.00014290634073484013,25.0,4.08248290463863
Methyl Butyl Ketone,Water,591-78-6,7732-18-5,0.00333125,0.0006516025916922062,22.5,12.24744871391589
Methyl sec-butyl Ketone,Water,565-61-7,7732-18-5,0.003833333333333333,0.0002490426112580377,25.0,4.08248290463863
Methyl tert-butyl Ketone,Water,75-97-8,7732-18-5,0.0038083333333333333,0.0008895020454663884,20.0,11.902380714238083
Cycloheptanone,Water,502-42-1,7732-18-5,0.005396,0.001448448825468128,45.2,28.971710339570908
Methylcyclohexanone,Water,1331-22-2,7732-18-5,0.00209,0.0,23.5,0.0
2-methylcyclohexanone,Water,583-60-8,7732-18-5,0.0032666666666666664,0.0008809590733336531,20.833333333333332,13.043729868748773
4-methylcyclohexanone,Water,589-92-4,7732-18-5,0.0037522222222222215,0.0008986382015494057,45.5,29.35700938447239
Di-isopropyl Ketone,Water,565-80-0,7732-18-5,0.0009096666666666667,1.9601587237318862e-05,25.0,4.08248290463863
Dipropyl Ketone,Water,123-19-3,7732-18-5,0.0007216,0.00024984283059555665,33.0,27.129319932501073
Ethyl Butyl Ketone,Water,106-35-4,7732-18-5,0.0006698000000000001,0.00020628659675315798,45.019999999999996,28.774669415998506
Ethyl Isobutyl Ketone,Water,623-56-3,7732-18-5,0.000673,0.00023082677487674605,45.46999999999999,29.271250400350173
Methyl Isopentyl Ketone,Water,110-12-3,7732-18-5,0.00067125,0.00014632476721320966,31.25,16.345871038277526
Methyl Pentyl Ketone,Water,110-43-0,7732-18-5,0.0006706666666666666,2.673740617354063e-05,25.0,4.08248290463863
Salicylic acid,Water,69-72-7,7732-18-5,0.0003118,0.0,28.0,0.0
3-Hydroxybenzoic acid,Water,99-06-9,7732-18-5,0.18801375,0.3151433783191986,108.7375,39.63123570808764
